Item, Website, Comments, Price
Machine Learning: A Probabilistic Perspective,http://www.amazon.com/Machine-Learning-Probabilistic-Perspective-Computation/dp/0262018020/ref=pd_sim_b_2?ie=UTF8&refRID=1F5Y52QNNX3A9422FGBJ,Used is ok - it's a textbook!, 67
Learning From Data,http://www.amazon.com/gp/offer-listing/1600490069/ref=dp_olp_all_mbc?ie=UTF8&condition=all,28
Thinking Fast & Slow, http://www.amazon.com/gp/product/0374533555/ref=s9_hps_bw_g14_i1?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=077VMWVA4YECQ7BR7ZV1&pf_rd_t=101&pf_rd_p=1980586702&pf_rd_i=7974672011,,8
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,http://www.amazon.com/Talk-Like-TED-Public-Speaking-Secrets/dp/1250041120/ref=pd_sim_b_99?ie=UTF8&refRID=0DZNB8ZD2ZKK2ZK0EBC9,,12
Six Not-So-Easy Pieces: Einstein’s Relativity Symmetry and Space-Time, http://www.amazon.com/Six-Not-So-Easy-Pieces-Einstein%C2%92s-Relativity/dp/0465025269/ref=asap_B000AQ47U8_1_11?s=books&ie=UTF8&qid=1418331769&sr=1-11,,10
Herringbone gingham shirt,http://www.zara.com/us/en/man/shirts/checked/herringbone-gingham-shirt-c529012p2004402.html,Brown - XXL49.90
Basic blazer,http://www.zara.com/us/en/man/blazers/basic-blazer-c269232p2451012.html,Black - 44, 79.90
Tall Rugged Cotton Sweatshirt Sweater,https://www.jcrew.com/mens_category/sweaters/tallshop/PRD~B5790/B5790.jsp,hthr slate - Tall XXL, 69.50
Gucci Pour Homme, http://shop.nordstrom.com/s/gucci-by-gucci-pour-homme-eau-de-toilette-spray/3002579?origin=keywordsearch-personalizedsort&contextualcategoryid=60135791&fashionColor=&resultback=492&cm_sp=personalizedsort-_-searchresults-_-1_1_B, Cologne, 72
Google Chromecast,http://www.amazon.com/Google-Chromecast-Streaming-Media-Player/dp/B00DR0PDNE/&ref_=tv_srch_google,Hackable Apple TV,35
TOMS Shoes,http://www.toms.com/toms-for-prom/ash-aviator-twill-mens-brogues,Ash - 13,98
Kauai Coffee 100% Hawaiian Chocolate Macadamia Nut,http://store.kauaicoffee.com/kauai-coffee-100-hawaiian-chocolate-macadamia-nut---10-oz-or-24-oz-p7.aspx,,11
Philips AD7000W/37 Fidelio SoundAvia Wireless Speaker with AirPlay,http://www.amazon.com/Philips-AD7000W-37-SoundAvia-Wireless/dp/B005HY4UJ6/ref=sr_1_1?ie=UTF8&qid=1418396113&sr=8-1&keywords=phillips+ad7000w%2F37,1 is great! 2 if you're feeling extra jolly!,70


